Link,Title,Subtitle,Description,Price,Location
https://auto.drom.ru/kaliningrad/mercedes-benz/e-class/388590240.html,"Mercedes-Benz E-Class, 1997",,"2.3 л (150 л.с.),бензин,механика,задний",180 000,Калининград
https://auto.drom.ru/krasnoufimsk/mercedes-benz/s-class/679338267.html,"Mercedes-Benz S-Class, 1986",,"2.8 л (193 л.с.),бензин,механика,задний,300 000 км",180 000,Красноуфимск
https://auto.drom.ru/vladikavkaz/mercedes-benz/e-class/601858904.html,"Mercedes-Benz E-Class, 1991",200 E AT Base,"2.0 л (118 л.с.),бензин,АКПП,задний,300 000 км",150 000,Владикавказ
https://auto.drom.ru/rozhdestveno/mercedes-benz/a-class/398801874.html,"Mercedes-Benz A-Class, 2000",,"1.4 л (82 л.с.),бензин,АКПП,передний,312 000 км",200 000,Рождествено
https://auto.drom.ru/smolensk/mercedes-benz/e-class/138925167.html,"Mercedes-Benz E-Class, 1990",200 D MT4 Base,"2.0 л (75 л.с.),дизель,механика,задний,555 555 км",75 000,Смоленск
https://auto.drom.ru/spb/mercedes-benz/mercedes/112425693.html,"Mercedes-Benz Mercedes, 1988",,"2.3 л (136 л.с.),бензин,автомат,задний,250 000 км",130 000,Санкт-Петербург
https://auto.drom.ru/novokuznetsk/mercedes-benz/c-class/843088257.html,"Mercedes-Benz C-Class, 1997",C180 АT Elegance,"1.8 л (122 л.с.),бензин,АКПП,задний,330 000 км",195 000,Новокузнецк
https://auto.drom.ru/moscow/mercedes-benz/190/481859929.html,"Mercedes-Benz 190, 1984",190 D 2.0 MT,"2.0 л (72 л.с.),дизель,механика,задний,350 000 км",80 000,Москва
https://auto.drom.ru/gorno-altaysk/mercedes-benz/e-class/941101085.html,"Mercedes-Benz E-Class, 1998",E 240 MТ Avantgarde,"2.4 л (170 л.с.),бензин,механика,задний,390 580 км",65 000,Горно-Алтайск
https://auto.drom.ru/ufa/mercedes-benz/e-class/875082353.html,"Mercedes-Benz E-Class, 1991",200 E MT4 Base,"2.0 л (118 л.с.),бензин,механика,задний,400 000 км",150 000,Уфа
https://auto.drom.ru/rostov-na-donu/mercedes-benz/190/799242375.html,"Mercedes-Benz 190, 1988",190 E 2.0 MT,"2.0 л (122 л.с.),бензин,механика,задний,350 000 км",150 000,Ростов-на-Дону
https://auto.drom.ru/spb/mercedes-benz/mercedes/738263923.html,"Mercedes-Benz Mercedes, 1987",,"2.0 л (75 л.с.),дизель,механика,задний,410 000 км",125 000,Санкт-Петербург
https://auto.drom.ru/moscow/mercedes-benz/e-class/574672831.html,"Mercedes-Benz E-Class, 1997",E 230 MТ Elegance,"2.3 л (150 л.с.),бензин,механика,задний,301 000 км",100 000,Москва
https://auto.drom.ru/tyumen/mercedes-benz/a-class/507219162.html,"Mercedes-Benz A-Class, 2000",A 190 MT Elegance,"1.9 л (125 л.с.),бензин,механика,передний,95 000 км",200 000,Тюмень
https://auto.drom.ru/moscow/mercedes-benz/190/492358316.html,"Mercedes-Benz 190, 1980",,"2.3 л (130 л.с.),бензин,механика,задний,400 000 км",150 000,Москва
https://auto.drom.ru/kyahta/mercedes-benz/e-class/320996033.html,"Mercedes-Benz E-Class, 1995",E 230 АТ Classic,"2.3 л (150 л.с.),бензин,АКПП,задний,250 000 км",125 000,Кяхта
https://auto.drom.ru/irkutsk/mercedes-benz/e-class/295412758.html,"Mercedes-Benz E-Class, 1984",,"2.4 л (90 л.с.),дизель,механика,задний,150 000 км",100 000,Иркутск
https://auto.drom.ru/berezovskiy-kemer/mercedes-benz/e-class/215603274.html,"Mercedes-Benz E-Class, 1992",,"2.3 л (132 л.с.),бензин,механика,задний,470 000 км",180 000,Берёзовский
https://auto.drom.ru/vengerovo/mercedes-benz/e-class/184638906.html,"Mercedes-Benz E-Class, 1997",E 230 АТ Avantgarde,"2.3 л (150 л.с.),бензин,АКПП,задний,440 000 км",200 000,Венгерово
https://auto.drom.ru/anastasievskaya/mercedes-benz/mercedes/52598125.html,"Mercedes-Benz Mercedes, 1987",,"2.0 л (106 л.с.),бензин,механика,задний,260 000 км",170 000,Анастасиевская
https://auto.drom.ru/talmenka/mercedes-benz/e-class/120111606.html,"Mercedes-Benz E-Class, 1991",320 E MT Base,"3.2 л (220 л.с.),бензин,механика,задний,100 000 км",190 000,Тальменка
https://auto.drom.ru/omsk/mercedes-benz/a-class/298972443.html,"Mercedes-Benz A-Class, 2000",,"1.4 л (82 л.с.),бензин,механика,передний,370 000 км",110 000,Омск
https://auto.drom.ru/gudermes/mercedes-benz/e-class/175232999.html,"Mercedes-Benz E-Class, 1986",200 MT5 Base,"2.0 л (109 л.с.),бензин,механика,задний,328 000 км",195 000,Гудермес
https://auto.drom.ru/novosibirsk/mercedes-benz/e-class/857579737.html,"Mercedes-Benz E-Class, 1997",,"2.3 л (150 л.с.),бензин,АКПП,задний,64 км",150 000,Новосибирск
https://auto.drom.ru/perm/mercedes-benz/c-class/720480472.html,"Mercedes-Benz C-Class, 1995",C180 MT Elegance,"1.8 л (122 л.с.),бензин,механика,задний,301 000 км",165 000,Пермь
https://auto.drom.ru/nizhnevartovsk/mercedes-benz/mercedes/341002196.html,"Mercedes-Benz Mercedes, 1989",,"2.0 л (75 л.с.),дизель,механика,задний,404 000 км",87 990,Нижневартовск
https://auto.drom.ru/novosibirsk/mercedes-benz/190/639847135.html,"Mercedes-Benz 190, 1985",190 E 2.0 MT,"2.0 л (122 л.с.),бензин,механика,задний,340 000 км",200 000,Новосибирск
https://auto.drom.ru/promyshlennaya/mercedes-benz/190/265591761.html,"Mercedes-Benz 190, 1992",,"2.0 л (122 л.с.),бензин,механика,задний,400 000 км",175 000,Промышленная
https://auto.drom.ru/kstovo/mercedes-benz/c-class/105068121.html,"Mercedes-Benz C-Class, 1995",C180 MT Elegance,"1.8 л (122 л.с.),бензин,механика,задний,498 508 км",112 000,Кстово
https://auto.drom.ru/novorossiysk/mercedes-benz/e-class/412205501.html,"Mercedes-Benz E-Class, 1997",E 240 АТ Classic,"2.4 л (170 л.с.),бензин,АКПП,задний,485 031 км",200 000,Новороссийск
https://auto.drom.ru/surgut/mercedes-benz/190/740775713.html,"Mercedes-Benz 190, 1993",190 E 1.8 MT,"1.8 л (109 л.с.),бензин,механика,задний,200 000 км",200 000,Сургут
https://auto.drom.ru/novosibirsk/mercedes-benz/c-class/640714339.html,"Mercedes-Benz C-Class, 1997",C180 MT Classic,"1.8 л (122 л.с.),бензин,механика,задний,150 000 км",200 000,Новосибирск
https://auto.drom.ru/nefteyugansk/mercedes-benz/190/243981220.html,"Mercedes-Benz 190, 1987",190 2.0 MT RUF version,"2.0 л (105 л.с.),бензин,механика,задний,231 243 км",200 000,Нефтеюганск
https://auto.drom.ru/lobnya/mercedes-benz/190/643078595.html,"Mercedes-Benz 190, 1991",,"2.0 л (122 л.с.),бензин,механика,задний,331 326 км",110 000,Лобня
https://auto.drom.ru/moscow/mercedes-benz/190/532270051.html,"Mercedes-Benz 190, 1990",190 E 1.8 AT,"1.8 л (109 л.с.),бензин,АКПП,задний,500 000 км",45 000,Москва
https://auto.drom.ru/safonovo/mercedes-benz/a-class/346652393.html,"Mercedes-Benz A-Class, 2000",A 140 MT Classic,"1.4 л (82 л.с.),бензин,механика,передний,340 000 км",170 000,Сафоново
https://auto.drom.ru/kemerovo/mercedes-benz/c-class/518698731.html,"Mercedes-Benz C-Class, 1994",,"1.8 л (122 л.с.),бензин,механика,задний,150 000 км",55 000,Кемерово
https://auto.drom.ru/ekaterinburg/mercedes-benz/a-class/145462669.html,"Mercedes-Benz A-Class, 1998",A 160 MT Avantgarde,"1.6 л (102 л.с.),бензин,механика,передний,350 000 км",200 000,Екатеринбург
https://auto.drom.ru/shadrinsk/mercedes-benz/e-class/318556842.html,"Mercedes-Benz E-Class, 1991",200 E (M 111 engine) AT Base,"2.0 л (136 л.с.),бензин,АКПП,задний,475 000 км",150 000,Шадринск
https://auto.drom.ru/chelyabinsk/mercedes-benz/c-class/835123782.html,"Mercedes-Benz C-Class, 2001",,"2.1 л (143 л.с.),дизель,АКПП,задний,333 333 км",170 000,Челябинск
https://auto.drom.ru/nakhodka/mercedes-benz/a-class/921726946.html,"Mercedes-Benz A-Class, 2000",A 160,"1.6 л (102 л.с.),бензин,АКПП,передний,162 000 км",200 000,Находка
https://auto.drom.ru/olenegorsk/mercedes-benz/c-class/866207056.html,"Mercedes-Benz C-Class, 1996",,"1.8 л (122 л.с.),бензин,АКПП,задний,367 000 км",165 000,Оленегорск
https://auto.drom.ru/kanevskaya/mercedes-benz/a-class/760611255.html,"Mercedes-Benz A-Class, 1998",A 140 MT Elegance,"1.4 л (82 л.с.),бензин,механика,передний,450 000 км",185 000,Каневская
https://auto.drom.ru/novosibirsk/mercedes-benz/190/749468202.html,"Mercedes-Benz 190, 1985",190 D 2.0 MT,"2.0 л (72 л.с.),дизель,механика,задний,99 999 км",185 000,Новосибирск
https://auto.drom.ru/spb/mercedes-benz/s-class/487234632.html,"Mercedes-Benz S-Class, 1998",S320,"3.2 л (224 л.с.),бензин,АКПП,задний,320 000 км",155 000,Санкт-Петербург
https://auto.drom.ru/moscow/mercedes-benz/e-class/153736306.html,"Mercedes-Benz E-Class, 1998",E 200 MТ Avantgarde,"2.0 л (136 л.с.),бензин,механика,задний,349 000 км",185 000,Москва
https://auto.drom.ru/novorossiysk/mercedes-benz/a-class/644320270.html,"Mercedes-Benz A-Class, 1999",A 160 AT Classic,"1.6 л (102 л.с.),бензин,АКПП,передний,229 663 км",199 000,Новороссийск
https://auto.drom.ru/kropotkin/mercedes-benz/w123/797639230.html,"Mercedes-Benz W123, 1978",,"2.0 л (55 л.с.),дизель,механика,задний,233 456 км",159 000,Кропоткин
https://auto.drom.ru/irkutsk/mercedes-benz/s-class/796351756.html,"Mercedes-Benz S-Class, 1999",S 500 AT L,"5.0 л (306 л.с.),бензин,АКПП,задний,258 523 км",198 000,Иркутск
https://auto.drom.ru/krasnoyarsk/mercedes-benz/a-class/810717312.html,"Mercedes-Benz A-Class, 1998",,"1.6 л (102 л.с.),бензин,механика,передний,100 000 км",155 000,Красноярск
https://auto.drom.ru/chelyabinsk/mercedes-benz/c-class/795662534.html,"Mercedes-Benz C-Class, 1997",,"1.8 л (122 л.с.),бензин,механика,задний,290 000 км",170 000,Челябинск
https://auto.drom.ru/moscow/mercedes-benz/e-class/755904945.html,"Mercedes-Benz E-Class, 1995",E 280 АТ Elegance,"2.8 л (193 л.с.),бензин,АКПП,задний,421 000 км",150 000,Москва
https://auto.drom.ru/tikhoretsk/mercedes-benz/w123/736343047.html,"Mercedes-Benz W123, 1980",,"3.0 л (88 л.с.),дизель,механика,задний,300 000 км",80 000,Тихорецк
https://auto.drom.ru/ryazan/mercedes-benz/c-class/676738554.html,"Mercedes-Benz C-Class, 1994",C280 АT Elegance,"2.8 л (193 л.с.),бензин,АКПП,задний,500 000 км",150 000,Рязань
https://auto.drom.ru/kaliningrad/mercedes-benz/a-class/319482815.html,"Mercedes-Benz A-Class, 1988",,"2.3 л (163 л.с.),бензин,механика,задний,256 466 км",100 000,Калининград
https://auto.drom.ru/krasnodar/mercedes-benz/190/595177865.html,"Mercedes-Benz 190, 1984",190 E 2.0 MT,"2.0 л (122 л.с.),бензин,механика,задний,15 000 км",120 000,Краснодар
https://auto.drom.ru/sosnoviy-bor/mercedes-benz/190/548857864.html,"Mercedes-Benz 190, 1984",,"2.0 л (122 л.с.),бензин,механика,задний,300 000 км",120 000,Сосновый Бор
https://auto.drom.ru/berezniky/mercedes-benz/mercedes/178213919.html,"Mercedes-Benz Mercedes, 1985",,"2.0 л (109 л.с.),бензин,механика,задний,384 000 км",130 000,Березники
https://auto.drom.ru/tyumen/mercedes-benz/190/725249303.html,"Mercedes-Benz 190, 1986",,"2.0 л (118 л.с.),бензин,механика,задний,198 144 км",130 000,Тюмень
https://auto.drom.ru/chelyabinsk/mercedes-benz/190/859158991.html,"Mercedes-Benz 190, 1990",,"2.0 л (102 л.с.),бензин,механика,задний,320 000 км",200 000,Челябинск
https://auto.drom.ru/abaza/mercedes-benz/e-class/769422209.html,"Mercedes-Benz E-Class, 1996",E 200 MТ Classic,"2.0 л (136 л.с.),бензин,механика,задний,468 000 км",120 000,Абаза
https://auto.drom.ru/rubtsovsk/mercedes-benz/e-class/489642738.html,"Mercedes-Benz E-Class, 1993",E 220 AT,"2.2 л (150 л.с.),бензин,АКПП,задний,250 000 км",200 000,Рубцовск
https://auto.drom.ru/solnechnogorsk/mercedes-benz/190/334555369.html,"Mercedes-Benz 190, 1990",,"2.0 л (102 л.с.),бензин,механика,задний,425 000 км",100 000,Солнечногорск
https://auto.drom.ru/volgograd/mercedes-benz/a-class/133872964.html,"Mercedes-Benz A-Class, 2000",A 170 CDI AT Avantgarde,"1.7 л (90 л.с.),дизель,АКПП,передний,245 000 км",145 000,Волгоград
https://auto.drom.ru/kaliningrad/mercedes-benz/e-class/369770089.html,"Mercedes-Benz E-Class, 1990",230 TE AT Base,"2.3 л (132 л.с.),бензин,АКПП,задний,306 000 км",160 000,Калининград
https://auto.drom.ru/voronezh/mercedes-benz/c-class/359592303.html,"Mercedes-Benz C-Class, 1995",C220 D АT Elegance,"2.2 л (95 л.с.),дизель,АКПП,задний,350 000 км",90 000,Воронеж
https://auto.drom.ru/krasnoyarsk/mercedes-benz/c-class/457598834.html,"Mercedes-Benz C-Class, 1996",C180 AT Classic,"1.8 л (122 л.с.),бензин,АКПП,задний,390 000 км",180 000,Красноярск
https://auto.drom.ru/kaliningrad/mercedes-benz/190/929672257.html,"Mercedes-Benz 190, 1986",190 D 2.0 MT,"2.0 л (72 л.с.),дизель,механика,задний,300 000 км",190 000,Калининград
https://auto.drom.ru/cherepovets/mercedes-benz/mercedes/903660458.html,"Mercedes-Benz Mercedes, 1989",,"2.0 л (109 л.с.),бензин,механика,задний,500 000 км",200 000,Череповец
https://auto.drom.ru/novorossiysk/mercedes-benz/e-class/815778387.html,"Mercedes-Benz E-Class, 1990",220 E MT Base,"2.2 л (150 л.с.),бензин,механика,задний,250 000 км",145 000,Новороссийск
https://auto.drom.ru/kurgan/mercedes-benz/e-class/736789012.html,"Mercedes-Benz E-Class, 1997",E 220 Diesel АТ Classic,"2.2 л (95 л.с.),дизель,АКПП,задний,350 000 км",175 000,Курган
https://auto.drom.ru/krasnodar/mercedes-benz/190/628474866.html,"Mercedes-Benz 190, 1990",190 E 1.8 MT,"1.8 л (109 л.с.),бензин,механика,задний,320 000 км",170 000,Краснодар
https://auto.drom.ru/makhachkala/mercedes-benz/e-class/174010342.html,"Mercedes-Benz E-Class, 1996",E 320 АТ Avantgarde,"3.2 л (220 л.с.),бензин,АКПП,задний,360 000 км",160 000,Махачкала
https://auto.drom.ru/kolomna/mercedes-benz/w123/524698569.html,"Mercedes-Benz W123, 1977",,"1.2 л (185 л.с.),бензин,механика,задний,500 000 км",120 000,Коломна
https://auto.drom.ru/blagoveshchensk/mercedes-benz/e-class/460454404.html,"Mercedes-Benz E-Class, 1992",230 E AT Base,"2.3 л (132 л.с.),бензин,АКПП,задний,900 000 км",140 000,Благовещенск
https://auto.drom.ru/voronezh/mercedes-benz/e-class/374937882.html,"Mercedes-Benz E-Class, 1989",230 E MT5 Base,"2.3 л (132 л.с.),бензин,механика,задний,231 804 км",130 000,Воронеж
https://auto.drom.ru/divnogorsk/mercedes-benz/e-class/304936911.html,"Mercedes-Benz E-Class, 1996",,"2.3 л (150 л.с.),бензин,АКПП,задний,405 000 км",110 000,Дивногорск
https://auto.drom.ru/belovo/mercedes-benz/vito/52558415.html,"Mercedes-Benz Vito, 1999",110 CDI MT,"2.1 л (102 л.с.),дизель,механика,передний,500 000 км",200 000,Белово
https://auto.drom.ru/novosibirsk/mercedes-benz/e-class/637596431.html,"Mercedes-Benz E-Class, 1998",E 430 АТ Avantgarde,"4.3 л (279 л.с.),бензин,АКПП,задний,450 000 км",150 000,Новосибирск
https://auto.drom.ru/polysaevo/mercedes-benz/e-class/838075164.html,"Mercedes-Benz E-Class, 1985",250 D MT Base,"2.5 л (90 л.с.),дизель,механика,задний,250 000 км",200 000,Полысаево
https://auto.drom.ru/novosibirsk/mercedes-benz/c-class/511938355.html,"Mercedes-Benz C-Class, 1995",C220 АT Classic,"2.2 л (150 л.с.),бензин,АКПП,задний,222 222 км",85 000,Новосибирск
https://auto.drom.ru/glazov/mercedes-benz/e-class/516059322.html,"Mercedes-Benz E-Class, 1996",,"2.0 л (136 л.с.),бензин,механика,задний",110 000,Глазов
https://auto.drom.ru/novosibirsk/mercedes-benz/190/917900560.html,"Mercedes-Benz 190, 1985",,"2.0 л (105 л.с.),бензин,механика,задний,385 891 км",70 000,Новосибирск
https://auto.drom.ru/vladikavkaz/mercedes-benz/e-class/610447126.html,"Mercedes-Benz E-Class, 1996",E 230 АТ Elegance,"2.3 л (150 л.с.),бензин,АКПП,задний,360 000 км",140 000,Владикавказ
https://auto.drom.ru/novosibirsk/mercedes-benz/e-class/319181271.html,"Mercedes-Benz E-Class, 1997",E 230 АТ Elegance,"2.3 л (150 л.с.),бензин,АКПП,задний,318 000 км",180 000,Новосибирск
https://auto.drom.ru/nazran/mercedes-benz/c-class/342810593.html,"Mercedes-Benz C-Class, 1996",,"1.8 л (122 л.с.),бензин,механика,задний",150 000,Назрань
https://auto.drom.ru/rostov-na-donu/mercedes-benz/190/525755011.html,"Mercedes-Benz 190, 1985",190 2.0 MT ECE version,"2.0 л (105 л.с.),бензин,механика,задний,414 000 км",175 000,Ростов-на-Дону
https://auto.drom.ru/solnechnogorsk/mercedes-benz/c-class/315313936.html,"Mercedes-Benz C-Class, 1996",,"1.8 л (122 л.с.),бензин,АКПП,задний,400 000 км",170 000,Солнечногорск
https://auto.drom.ru/glazov/mercedes-benz/e-class/919249773.html,"Mercedes-Benz E-Class, 1996",,"2.0 л (136 л.с.),бензин,механика,задний",110 000,Глазов
https://auto.drom.ru/novosibirsk/mercedes-benz/e-class/836693103.html,"Mercedes-Benz E-Class, 1997",E 230 АТ Elegance,"2.3 л (150 л.с.),бензин,АКПП,задний,150 000 км",180 000,Новосибирск
https://auto.drom.ru/chernogorsk/mercedes-benz/e-class/283563786.html,"Mercedes-Benz E-Class, 1998",,"2.0 л (136 л.с.),бензин,АКПП,задний,200 000 км",195 000,Черногорск
https://auto.drom.ru/nizhniy-tagil/mercedes-benz/e-class/355456802.html,"Mercedes-Benz E-Class, 1998",E 240 АТ Classic,"2.4 л (170 л.с.),бензин,АКПП,задний,365 585 км",180 000,Нижний Тагил
https://auto.drom.ru/novosibirsk/mercedes-benz/a-class/926835927.html,"Mercedes-Benz A-Class, 1999",,"1.6 л (102 л.с.),бензин,механика,передний,145 803 км",67 000,Новосибирск
https://auto.drom.ru/biysk/mercedes-benz/190/350160014.html,"Mercedes-Benz 190, 1990",,"2.0 л (102 л.с.),бензин,механика,задний,420 000 км",165 000,Бийск
